Param1,Param2,Param3,Error,Time,Volume,Accuracy
8,2,3.0,0.14784365250215056,6.56355,21.651481397500675,0.6344735282976525
8,2,3.5,0.09851288010575916,4.3735,5.015037749998781,0.8612327906980529
8,2,4.0,0.09851288010575916,4.3735,5.015037749998781,0.8612327906980529
8,2,4.5,0.09851288010575916,4.3735,5.015037749998781,0.8612327906980529
8,3,3.0,0.15025990416533674,6.67082,22.461720527578468,0.6368964045898039
8,3,3.5,0.10012859495427548,4.44523,5.280040247100683,0.8644066921749703
8,3,4.0,0.10012859495427548,4.44523,5.280040247100683,0.8644066921749703
8,3,4.5,0.10012859495427548,4.44523,5.280040247100683,0.8644066921749703
8,4,3.0,0.15219096834996387,6.75655,23.07946209750674,0.6387669081086997
8,4,3.5,0.10135530387174653,4.49969,5.493899903903445,0.8671952344911746
8,4,4.0,0.10135530387174653,4.49969,5.493899903903445,0.8671952344911746
8,4,4.5,0.10135530387174653,4.49969,5.493899903903445,0.8671952344911746
10,2,3.0,0.12522860011248962,5.55955,17.589833797480065,0.6684662873846674
10,2,3.5,0.08435256866675482,3.74485,3.5639284774995676,0.9028832316482142
10,2,4.0,0.08435256866675482,3.74485,3.5639284774995676,0.9028832316482142
10,2,4.5,0.08435256866675482,3.74485,3.5639284774995676,0.9028832316482142
10,3,3.0,0.12969101846798337,5.75766,18.764151324396668,0.6674815535764589
10,3,3.5,0.08707898892695856,3.86589,3.897704507897842,0.9038733786575992
10,3,4.0,0.08707898892695856,3.86589,3.897704507897842,0.9038733786575992
10,3,4.5,0.08707898892695856,3.86589,3.897704507897842,0.9038733786575992
10,4,3.0,0.132956235593885,5.90262,19.606557135599566,0.6663284511902056
10,4,3.5,0.08902762257459758,3.9524,4.143534239997975,0.9043138151147726
10,4,4.0,0.08902762257459758,3.9524,4.143534239997975,0.9043138151147726
10,4,4.5,0.08902762257459758,3.9524,4.143534239997975,0.9043138151147726
12,2,3.0,0.11251934611864658,4.99532,15.627878097588411,0.6876301417251074
12,2,3.5,0.07635350750677831,3.38973,2.850120527101002,0.9240429435548632
12,2,4.0,0.07635350750677831,3.38973,2.850120527101002,0.9240429435548632
12,2,4.5,0.07635350750677831,3.38973,2.850120527101002,0.9240429435548632
12,3,3.0,0.1186956881159026,5.26952,17.04937896959498,0.6838364642208292
12,3,3.5,0.08013815003915963,3.55775,3.239764937501436,0.9230942845488843
12,3,4.0,0.08013815003915963,3.55775,3.239764937501436,0.9230942845488843
12,3,4.5,0.08013815003915963,3.55775,3.239764937501436,0.9230942845488843
12,4,3.0,0.12288307680040257,5.45542,17.93061262358961,0.6810262984029544
12,4,3.5,0.08268279393204807,3.67072,3.515294681601562,0.9220867483742051
12,4,4.0,0.08268279393204807,3.67072,3.515294681601562,0.9220867483742051
12,4,4.5,0.08268279393204807,3.67072,3.515294681601562,0.9220867483742051
